PAIS,SEXO,RAZA,ANALFABETOS,ALFABETOS,ID_Demografia,ID_Zona
EL SALVADOR,hombres,INDIGENAS,2298,4800,1,1
EL SALVADOR,hombres,INDIGENAS,2448,5536,2,1
EL SALVADOR,hombres,INDIGENAS,1724,3638,3,1
EL SALVADOR,hombres,INDIGENAS,583,2772,4,1
EL SALVADOR,hombres,INDIGENAS,31,5010,5,1
EL SALVADOR,hombres,INDIGENAS,883,5972,6,1
EL SALVADOR,hombres,INDIGENAS,1160,4563,7,1
EL SALVADOR,hombres,INDIGENAS,689,3472,8,1
EL SALVADOR,hombres,INDIGENAS,49,3094,9,1
EL SALVADOR,hombres,INDIGENAS,904,2996,10,1
EL SALVADOR,hombres,INDIGENAS,2807,6042,11,1
EL SALVADOR,hombres,INDIGENAS,819,6088,12,1
EL SALVADOR,hombres,INDIGENAS,1732,7004,13,1
EL SALVADOR,hombres,INDIGENAS,970,7497,14,1
EL SALVADOR,hombres,INDIGENAS,1708,3195,15,1
EL SALVADOR,hombres,INDIGENAS,101,6321,16,1
EL SALVADOR,hombres,INDIGENAS,1972,5427,17,1
EL SALVADOR,hombres,INDIGENAS,913,7974,18,1
EL SALVADOR,hombres,INDIGENAS,384,4204,19,1
EL SALVADOR,hombres,INDIGENAS,2734,5026,20,1
EL SALVADOR,hombres,INDIGENAS,20,2335,21,1
EL SALVADOR,hombres,INDIGENAS,1841,3121,22,1
EL SALVADOR,hombres,INDIGENAS,284,2988,23,1
EL SALVADOR,hombres,INDIGENAS,2960,873,24,1
EL SALVADOR,hombres,INDIGENAS,1032,3416,25,1
EL SALVADOR,hombres,INDIGENAS,191,4533,26,1
EL SALVADOR,hombres,INDIGENAS,2278,5538,27,1
EL SALVADOR,hombres,INDIGENAS,2048,4457,28,1
EL SALVADOR,hombres,INDIGENAS,1907,1289,29,1
EL SALVADOR,hombres,INDIGENAS,851,5333,30,1
EL SALVADOR,hombres,INDIGENAS,474,3360,31,1
EL SALVADOR,hombres,INDIGENAS,2284,3295,32,1
EL SALVADOR,hombres,INDIGENAS,646,5482,33,1
EL SALVADOR,hombres,INDIGENAS,2208,2555,34,1
EL SALVADOR,hombres,INDIGENAS,443,4216,35,1
EL SALVADOR,hombres,INDIGENAS,2599,4536,36,1
EL SALVADOR,hombres,INDIGENAS,1873,3891,37,1
EL SALVADOR,hombres,INDIGENAS,2036,6144,38,1
EL SALVADOR,hombres,INDIGENAS,2120,2814,39,1
EL SALVADOR,hombres,INDIGENAS,1284,6198,40,1
EL SALVADOR,hombres,INDIGENAS,236,3050,41,1
EL SALVADOR,hombres,INDIGENAS,1281,4832,42,1
EL SALVADOR,hombres,INDIGENAS,2218,4385,43,1
EL SALVADOR,hombres,INDIGENAS,1202,4332,44,1
EL SALVADOR,hombres,INDIGENAS,2407,5708,45,1
EL SALVADOR,hombres,INDIGENAS,2481,5238,46,1
EL SALVADOR,hombres,INDIGENAS,1487,4224,47,1
EL SALVADOR,hombres,INDIGENAS,54,1768,48,1
EL SALVADOR,hombres,INDIGENAS,498,6897,49,1
EL SALVADOR,hombres,INDIGENAS,892,4120,50,1
EL SALVADOR,hombres,INDIGENAS,992,3892,51,1
EL SALVADOR,hombres,INDIGENAS,934,4545,52,1
EL SALVADOR,hombres,INDIGENAS,1712,4337,53,1
EL SALVADOR,hombres,INDIGENAS,2048,7003,54,1
EL SALVADOR,hombres,INDIGENAS,2803,3357,55,1
EL SALVADOR,hombres,INDIGENAS,2851,4690,56,1
EL SALVADOR,hombres,INDIGENAS,1934,5143,57,1
EL SALVADOR,hombres,INDIGENAS,887,5596,58,1
EL SALVADOR,hombres,INDIGENAS,502,5840,59,1
EL SALVADOR,hombres,INDIGENAS,2214,4203,60,1
EL SALVADOR,hombres,INDIGENAS,2249,4240,61,1
EL SALVADOR,hombres,INDIGENAS,1200,5185,62,1
EL SALVADOR,hombres,INDIGENAS,2948,3077,63,1
EL SALVADOR,hombres,INDIGENAS,979,4177,64,1
EL SALVADOR,hombres,INDIGENAS,2056,3712,65,1
EL SALVADOR,hombres,INDIGENAS,1782,4968,66,1
EL SALVADOR,hombres,INDIGENAS,2144,4055,67,1
EL SALVADOR,hombres,INDIGENAS,2796,4418,68,1
EL SALVADOR,hombres,INDIGENAS,381,3423,69,1
EL SALVADOR,hombres,INDIGENAS,2513,5217,70,1
EL SALVADOR,hombres,INDIGENAS,2658,5908,71,1
EL SALVADOR,hombres,INDIGENAS,233,5497,72,1
EL SALVADOR,hombres,INDIGENAS,2670,4467,73,1
EL SALVADOR,hombres,INDIGENAS,2023,3052,74,1
EL SALVADOR,hombres,INDIGENAS,835,2558,75,1
EL SALVADOR,hombres,INDIGENAS,773,5981,76,1
EL SALVADOR,hombres,INDIGENAS,623,5315,77,1
EL SALVADOR,hombres,INDIGENAS,1478,5341,78,1
EL SALVADOR,hombres,INDIGENAS,1593,4655,79,1
EL SALVADOR,hombres,INDIGENAS,2623,7547,80,1
EL SALVADOR,hombres,INDIGENAS,206,4262,81,1
EL SALVADOR,hombres,INDIGENAS,1343,5506,82,1
EL SALVADOR,hombres,INDIGENAS,812,5566,83,1
EL SALVADOR,hombres,INDIGENAS,2661,2535,84,1
EL SALVADOR,hombres,INDIGENAS,1951,6864,85,1
EL SALVADOR,hombres,INDIGENAS,2776,3418,86,1
EL SALVADOR,hombres,INDIGENAS,2593,5563,87,1
EL SALVADOR,hombres,INDIGENAS,2207,2692,88,1
EL SALVADOR,hombres,INDIGENAS,238,3108,89,1
EL SALVADOR,hombres,INDIGENAS,2405,4644,90,1
EL SALVADOR,hombres,INDIGENAS,887,6728,91,1
EL SALVADOR,hombres,INDIGENAS,2872,5207,92,1
EL SALVADOR,hombres,INDIGENAS,2257,5312,93,1
