PARTIDO,ANALFABETOS,ID_Resultado,ID_Eleccion,ID_Partido
ARENA,2298,1,1,1
ARENA,2448,2,1,1
ARENA,1724,3,1,1
ARENA,583,4,1,1
ARENA,31,5,1,1
ARENA,883,6,1,1
ARENA,1160,7,1,1
ARENA,689,8,1,1
ARENA,49,9,1,1
ARENA,904,10,1,1
ARENA,2807,11,1,1
ARENA,819,12,1,1
ARENA,1732,13,1,1
ARENA,970,14,1,1
ARENA,1708,15,1,1
ARENA,101,16,1,1
ARENA,1972,17,1,1
ARENA,913,18,1,1
ARENA,384,19,1,1
ARENA,2734,20,1,1
ARENA,20,21,1,1
ARENA,1841,22,1,1
ARENA,284,23,1,1
ARENA,2960,24,1,1
ARENA,1032,25,1,1
ARENA,191,26,1,1
ARENA,2278,27,1,1
ARENA,2048,28,1,1
ARENA,1907,29,1,1
ARENA,851,30,1,1
ARENA,474,31,1,1
ARENA,2284,32,1,1
ARENA,646,33,1,1
ARENA,2208,34,1,1
ARENA,443,35,1,1
ARENA,2599,36,1,1
ARENA,1873,37,1,1
ARENA,2036,38,1,1
ARENA,2120,39,1,1
ARENA,1284,40,1,1
ARENA,236,41,1,1
ARENA,1281,42,1,1
ARENA,2218,43,1,1
ARENA,1202,44,1,1
ARENA,2407,45,1,1
ARENA,2481,46,1,1
ARENA,1487,47,1,1
ARENA,54,48,1,1
ARENA,498,49,1,1
ARENA,892,50,1,1
ARENA,992,51,1,1
ARENA,934,52,1,1
ARENA,1712,53,1,1
ARENA,2803,54,1,1
ARENA,2851,55,1,1
ARENA,1934,56,1,1
ARENA,887,57,1,1
ARENA,502,58,1,1
ARENA,2214,59,1,1
ARENA,2249,60,1,1
ARENA,1200,61,1,1
ARENA,2948,62,1,1
ARENA,979,63,1,1
ARENA,2056,64,1,1
ARENA,1782,65,1,1
ARENA,2144,66,1,1
ARENA,2796,67,1,1
ARENA,381,68,1,1
ARENA,2513,69,1,1
ARENA,2658,70,1,1
ARENA,233,71,1,1
ARENA,2670,72,1,1
ARENA,2023,73,1,1
ARENA,835,74,1,1
ARENA,773,75,1,1
ARENA,623,76,1,1
ARENA,1478,77,1,1
ARENA,1593,78,1,1
ARENA,2623,79,1,1
ARENA,206,80,1,1
ARENA,1343,81,1,1
ARENA,812,82,1,1
ARENA,2661,83,1,1
ARENA,1951,84,1,1
ARENA,2776,85,1,1
ARENA,2593,86,1,1
ARENA,2207,87,1,1
ARENA,238,88,1,1
ARENA,2405,89,1,1
ARENA,2872,90,1,1
ARENA,2257,91,1,1
ARENA,2908,92,1,1
ARENA,424,93,1,1
ARENA,360,94,1,1
ARENA,964,95,1,1
ARENA,1854,96,1,1
ARENA,2050,97,1,1
ARENA,1967,98,1,1
ARENA,1852,99,1,1
ARENA,1341,100,1,1
ARENA,186,101,1,1
ARENA,2030,102,1,1
ARENA,35,103,1,1
ARENA,1655,104,1,1
ARENA,762,105,1,1
ARENA,1905,106,1,1
ARENA,1333,107,1,1
ARENA,2625,108,1,1
ARENA,1082,109,1,1
ARENA,1615,110,1,1
ARENA,2890,111,1,1
ARENA,2061,112,1,1
ARENA,2297,113,1,1
ARENA,9,114,1,1
ARENA,2645,115,1,1
ARENA,1427,116,1,1
ARENA,78,117,1,1
ARENA,1435,118,1,1
ARENA,1065,119,1,1
ARENA,2893,120,1,1
ARENA,2264,121,1,1
ARENA,1252,122,1,1
ARENA,1038,123,1,1
ARENA,1903,124,1,1
ARENA,1360,125,1,1
ARENA,1444,126,1,1
ARENA,2126,127,1,1
ARENA,727,128,1,1
ARENA,181,129,1,1
ARENA,1320,130,1,1
ARENA,1431,131,1,1
ARENA,185,132,1,1
ARENA,1871,133,1,1
ARENA,2930,134,1,1
ARENA,976,135,1,1
ARENA,416,136,1,1
ARENA,1231,137,1,1
ARENA,1989,138,1,1
ARENA,586,139,1,1
ARENA,1735,140,1,1
ARENA,1211,141,1,1
ARENA,2169,142,1,1
ARENA,1526,143,1,1
ARENA,967,144,1,1
ARENA,1013,145,1,1
ARENA,2295,146,1,1
ARENA,351,147,1,1
ARENA,2498,148,1,1
ARENA,141,149,1,1
ARENA,2935,150,1,1
ARENA,1521,151,1,1
ARENA,1054,152,1,1
ARENA,717,153,1,1
ARENA,781,154,1,1
ARENA,829,155,1,1
ARENA,1216,156,1,1
ARENA,1172,157,1,1
ARENA,700,158,1,1
ARENA,1076,159,1,1
ARENA,1142,160,1,1
ARENA,969,161,1,1
ARENA,435,162,1,1
ARENA,1850,163,1,1
ARENA,1331,164,1,1
ARENA,362,165,1,1
ARENA,1064,166,1,1
ARENA,2939,167,1,1
ARENA,470,168,1,1
ARENA,2878,169,1,1
ARENA,1367,170,1,1
ARENA,2467,171,1,1
ARENA,958,172,1,1
ARENA,2918,173,1,1
ARENA,2538,174,1,1
ARENA,2114,175,1,1
ARENA,1681,176,1,1
ARENA,1179,177,1,1
ARENA,1214,178,1,1
ARENA,1943,179,1,1
ARENA,2849,180,1,1
ARENA,774,181,1,1
ARENA,2173,182,1,1
ARENA,428,183,1,1
ARENA,1699,184,1,1
ARENA,2637,185,1,1
ARENA,1652,186,1,1
ARENA,2029,187,1,1
ARENA,2981,188,1,1
ARENA,173,189,1,1
ARENA,2561,190,1,1
ARENA,2822,191,1,1
ARENA,1910,192,1,1
ARENA,1789,193,1,1
ARENA,451,194,1,1
ARENA,903,195,1,1
ARENA,57,196,1,1
ARENA,2265,197,1,1
ARENA,523,198,1,1
ARENA,2389,199,1,1
ARENA,2432,200,1,1
ARENA,1078,201,1,1
ARENA,1310,202,1,1
ARENA,280,203,1,1
ARENA,2739,204,1,1
ARENA,500,205,1,1
ARENA,2766,206,1,1
ARENA,2316,207,1,1
ARENA,1336,208,1,1
ARENA,1492,209,1,1
ARENA,832,210,1,1
ARENA,1420,211,1,1
ARENA,704,212,1,1
ARENA,231,213,1,1
ARENA,2651,214,1,1
ARENA,2309,215,1,1
ARENA,1170,216,1,1
ARENA,1494,217,1,1
ARENA,2502,218,1,1
ARENA,1413,219,1,1
ARENA,1556,220,1,1
ARENA,244,221,1,1
ARENA,842,222,1,1
ARENA,2620,223,1,1
ARENA,170,224,1,1
ARENA,2217,225,1,1
ARENA,2334,226,1,1
ARENA,857,227,1,1
ARENA,1355,228,1,1
ARENA,569,229,1,1
ARENA,2767,230,1,1
ARENA,2291,231,1,1
ARENA,1832,232,1,1
ARENA,1805,233,1,1
ARENA,905,234,1,1
ARENA,838,235,1,1
ARENA,1132,236,1,1
FSLN,2034,237,1,1
FSLN,710,238,1,1
FSLN,305,239,1,1
FSLN,2161,240,1,1
FSLN,1206,241,1,1
FSLN,1192,242,1,1
FSLN,740,243,1,1
FSLN,771,244,1,1
FSLN,2050,245,1,1
FSLN,2966,246,1,1
FSLN,1279,247,1,1
FSLN,405,248,1,1
FSLN,274,249,1,1
FSLN,2642,250,1,1
FSLN,835,251,1,1
FSLN,2789,252,1,1
FSLN,5,253,1,1
